***** Bayesian optimization *****
Parameters settings:
[{'name': 'dropout', 'type': 'continuous', 'domain': (0.0, 0.9), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'kernel_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'bias_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'batch_norm', 'type': 'categorical', 'domain': (0, 1), 'domain_v': (True, False), 'dimensionality': 1, 'cast': None}, {'name': 'batch_size', 'type': 'discrete', 'domain': (64, 128, 256), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'int'>}]
*********************************
Best score: 0.6201649425265502
Best params: {'dropout': 0.1846992946549152, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
*********************************

Runs:
0.6265381152259392: {'dropout': 0.20960382437270952, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
0.643843356081177: {'dropout': 0.12248542719276208, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.9106597095829536: {'dropout': 0.06072118641392058, 'kernel_reg': 0.02, 'bias_reg': 0.005133973905631804, 'batch_norm': True, 'batch_size': 128}
0.6252124702820125: {'dropout': 0.2820442542463681, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 128}
0.940961172281099: {'dropout': 0.27800704861897413, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.6413595782276252: {'dropout': 0.3080715247542342, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 128}
0.6390671620122758: {'dropout': 0.45616423290474156, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.6749749738474445: {'dropout': 0.5922393230300748, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 64}
1.4551730057581191: {'dropout': 0.7473024976122349, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 128}
0.6469116883630933: {'dropout': 0.3630120048805621, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.6925916729586564: {'dropout': 0.32516371457702287, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 64}
0.6350022000971505: {'dropout': 0.2626096311842043, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.6570133844353313: {'dropout': 0.0, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.9105401106305779: {'dropout': 0.24672986147518697, 'kernel_reg': 0.01239603104137514, 'bias_reg': 0.014527762932292416, 'batch_norm': False, 'batch_size': 128}
0.6792504309388526: {'dropout': 0.10110697537484799, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 64}
0.6318431636500927: {'dropout': 0.08375183084080591, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.78161818325026: {'dropout': 0.7945603666413256, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
1.2452106524837696: {'dropout': 0.799697673179829, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 128}
0.6476120308847237: {'dropout': 0.5335025017969373, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.667631036661569: {'dropout': 0.0, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.6507142902756109: {'dropout': 0.5156447112139901, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 128}
0.7588225012573451: {'dropout': 0.4380974967208571, 'kernel_reg': 0.0004647640150937793, 'bias_reg': 0.018455171573773715, 'batch_norm': False, 'batch_size': 128}
0.7050147428549736: {'dropout': 0.0, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 64}
